sd_id	dc_release_id	sd_artist	dc_artist	dc_artist_id	sd_record_label	dc_record_label	sd_label_cat_no	dc_label_cat_no	sd_title	dc_title	dc_country	dc_year	dc_decade	dc_genres	dc_styles
6676881	12059107	 Don Wayne. Baby's gone / Conway Twitty ; Billy Parks	Cal Smith	768922	MCA Records	MCA Records	MCA-40394	MCA-40394	She talked a lot about Texas	Baby's Gone / She Talked A Lot About Texas	US	1975	70	Folk, World, & Country	Country
6676883	2876889	Welch ; Postill. And in the morning / Graeme Hall	Olivia Newton-John	162670	MCA Records	MCA Records	MCA-40418	MCA-40418	Please Mr. please	Please Mr. Please / And In The Morning	US	1975	70	Pop	Vocal
6676863	1338313	 Patricia Lawden. Have you never been mellow / John Farrar	Olivia Newton-John	162670	MCA Records	MCA Records	MCA-40349	MCA-40349	Water under the bridge	Have You Never Been Mellow / Water Under The Bridge	US	1975	70	Pop	Vocal
6676865	1113994	Bernie Taupin	Elton John Band	632312	MCA Records	MCA Records	MCA-40364	MCA-40364	I saw standing there	Philadelphia Freedom / I Saw Her Standing There	US	1975	70	Rock	Pop Rock
6677863	577950	Rupert Holmes. Escape (The piña colada song) / Rupert Holmes	Rupert Holmes	219291	Infinity Records	Infinity Records (2)	50,035	INF 50,035	Drop it	Escape (The Pina Colada Song) / Drop It	US	1979	70	Rock; Pop	Soft Rock
6677855	1728500	Jay Beckenstein	Spyro Gyra	170554	Infinity Records	Infinity Records (2)	50,011	INF 50,011	Morning dance	Morning Dance	US	1979	70	Jazz	Jazz-Funk; Contemporary Jazz
6677828	1528989	Jackie DeShannon, Jimmy Holiday	Jackie DeShannon	310353	Imperial Records	Imperial	66385	66385	Put a little love in your heart	Put A Little Love In Your Heart / Always Together	US	1969	60	Pop	Vocal
6677904	5160544		Earl Bostic	256012	King	King Records (3)	EP-204	EP-204	Earl bostic, vol 5.	Earl Bostic Vol. 5.	US	1953	50	Jazz	Bop
6678251	9080490	Kristofferson	Sammi Smith	444574	Mega	Mega Records (4)	615-0015	615-0015	When Michael calls	Help Me Make It Through The Night / When Michael Calls	US	1970	70	Folk, World, & Country	Country
6678245	3484562	 Sammi Smith. Never been to Spain / Hoyt Axton	Sammi Smith	444574	Mega	Mega Records (4)	MR-210	MR-210	It's not easy	Never Been To Spain / It's Not Easy	US	1974	70	Folk, World, & Country	Country
6678258	3651653	D Di Mucci, Tony Fasce ;	Dion (3)	325101	Laurie	Laurie Records	LR-3464	LR-3464	Daddy rollin' (in your arms)	Abraham, Martin And John / Daddy Rollin'	US	1968	60	Rock	Pop Rock
6678231	11611590	Ravel	Patti Page	57628	Mercury	Mercury	71469	71469 x45	My mother's eyes	With My Eyes Wide Open I'm Dreaming	Finland	1959	50	Pop	Vocal
6678216	11127890	Khoury ; Baptiste	Phil Phillips With The Twilights	1459521	Mercury	Mercury	71465	71465	Juella ; Sea of love	Sea Of Love / Juella	US	1959	50	Rock	Rock & Roll
6678229	2136792	D DiMucci, J Falbo ;	Dion (3)	325101	Laurie	Laurie Records	3145	3145	Love came to me	Love Came To Me	US	1962	60	Rock	Rock & Roll
6678235	3204424	Murray ;	Gerry & The Pacemakers	277348	Laurie	Laurie Records	LR 3271	LR 3271	I like it	I Like It / Jambalaya	US	1964	60	Rock	Beat
6678243	421122	Gernhard, Holler ;	The Royal Guardsmen	290319	Laurie	Laurie Records	3366	LR 3366	Snoopy vs the red baron	Snoopy Vs. The Red Baron	US	1966	60	Rock	Pop Rock
6678247	2418705	E Wolfson ;	The Music Explosion	252466	Laurie	Laurie Records	LR-3400	LR-3400	Sunshine games	Sunshine Games	US	1967	60	Rock	Pop Rock; Garage Rock; Psychedelic Rock
6679341	1312784	Bob Dylan. Sassy / Crewe ; Gaudio	The Wonder Who?	1106856	Philips Records	Philips	40324	40324	Don't think twice	Don't Think Twice	US	1965	60	Rock	Pop Rock
6679344	1268779	Ross ; Renzetti. Sunny / Hebb	Bobby Hebb	318476	Philips Records	Philips	40365	40365	Bread	Sunny / Bread	US	1966	60	Funk / Soul; Pop	Ballad; Soul; Vocal
6679347	1774449	Marnne, Stallman. The joker went wild / Bobby Russell	Brian Hyland	145077	Philips Records	Philips	40377	40377	I can hear the rain	The Joker Went Wild / I Can Hear The Rain	US	1966	60	Rock; Funk / Soul; Pop	Pop Rock; Soul; Vocal
6679363	1332224	Brown ; Bloodsworth. Let's ride again / Crewe ; Gaudio	The Four Seasons	121112	Philips Records	Philips	40460	40460	C'mon Marianne	C'mon Marianne	US	1967	60	Rock; Pop	Pop Rock
6679398	2916321	 Paul Anka. Let my people go / Kay Lewis ; Helen Lewis	Donny Osmond	381534	MGM Records	MGM Records	K14367	K14367	Puppy love	Puppy Love / Let My People Go	US	1972	70	Rock; Pop	Pop Rock; Ballad
6679400	10445286	 Christonpher Kingsley. Mother of mine / Bill Parkinson	Little Jimmy Osmond	506827	MGM Records	MGM Records	K14376	K14376	Long haired lover from Liverpool	Mother Of Mine / Long Haired Lover From Liverpool	New Zealand	1972	70	Pop	Vocal
6679331	1679995	in the sunshine / Gale Garnett	Mike Curb Congregation	132339	MGM Records	MGM Records	K14151	K14151	My home town	Burning Bridges / My Home Town	US	1970	70	Pop; Stage & Screen	Theme
6679316	2896581	Soeur Sourire	The Singing Nun	85575	Philips Records	Philips	40152	40152	Dominique ; Entre les etoiles (among the star)	Dominique	US	1963	60	Rock; Pop	Folk Rock; Acoustic; Vocal
6679322	1332290	Len Chandler ; Sailin' away / Tom Tiemann	The Serendipity Singers	1121004	Philips Records	Philips	40198	40198	Beans in my ears	Beans In My Ears / Sailin' Away	US	1964	60	Pop; Folk, World, & Country	Folk
6679328	1691847	/ King	Dusty Springfield	31260	Philips Records	Philips	40207	40207	Wishin' and hopin'	Wishin' And Hopin'	US	1964	60	Rock; Funk / Soul	Pop Rock; Soul
6679342	5948843	Jean Dillon	Billy Walker	444585	MGM Records	MGM Records	K14173	K14173	She goes walking through my mind	She Goes Walking Through My Mind / It's Your Fault I'm Cheating	US	1970	70	Folk, World, & Country	Country
6679333	10488798	Wray. I won't be back this year / Kusik ; Lorber	Jimmy Velvet	1434446	Philips Records	Philips	40314	40314	Young hearts	I Won't Be Back This Year / Young Hearts	US	1965	60	Pop	Bubblegum
6679386	3451882	Ron McCown	Mel Tillis	693015	MGM Records	MGM Records	K14255	K14255	Take my hand	Life's Little Surprises / Take My Hand	US	1971	70	Folk, World, & Country	Country
6679384	2890925	Phillips. I waited for you / Kesslair ; Chaumelle	Paul Mauriat And His Orchestra	84648	Philips Records	Philips	40550	40550	San Francisco (wear some flowers in your hair)	San Francisco (Wear Some Flowers In Your Hair)	US	1968	60	Jazz; Pop	Easy Listening
6679373	1326915	Hebb. Love is blue (l'amour est bleu) / Popp ; Cour	Paul Mauriat And His Orchestra	84648	Philips Records	Philips	40495	40495	Sunny	Love Is Blue (L'Amour Est Bleu) / Sunny	US	1967	60	Pop	Chanson
6679393	7641364	Guida. I must go / Del Gudico ; Lamont	Group Therapy (6)	1211790	Philips Records	Philips	40598	40598	Can't stop lovin' you, baby	Can't Stop Lovin' You Baby/ I Must Go	US	1969	60	Rock	Garage Rock
6679392	2602837	David ; Charles	Donny Osmond	381534	MGM Records	MGM Records	K14285	K14285	Go away little girl	Go Away Little Girl	US	1971	70	Rock	Pop Rock
6679389	10262030	 Schifrin ; Charles. Double lovin' / Jackson ; Buckins	The Osmonds	271356	MGM Records	MGM Records	K14259	K14259	Chilly winds	Double Lovin' / Chilly Wonds	US	1971	70	Rock; Funk / Soul; Pop; Stage & Screen	Pop Rock; Soul
6679396	7436519	 Ronald C. Myers. Silent night	Jimmy Osmond	761387	MGM Records	MGM Records	K14328	K14328	If Santa were my daddy	If Santa Were My Daddy / Silent Night	US	1971	70	Pop	Vocal
6679371	1561290	 Rick Hall ; Billy Sherrill. flirtin / Kenny Nolan	Donny Osmond	381534	MGM Records	MGM Records	K14227	K14227	Sweet and innocent	Sweet And Innocent	US	1971	70	Rock; Pop	Pop Rock
6680233	1681078	J. Osmond	Donny & Marie Osmond	327747	Polydor Records	Polydor	PD 14363	PD 14363	Ain't nothing like the real thing	Ain't Nothing Like The Real Thing / Sing	US	1976	70	Rock; Pop	Pop Rock
6680253	2768191	/ C. Weil ; B. Mann	Donny & Marie Osmond	327747	Polydor Records	Polydor	PD 14439	PD 14439	Now we're together	Now We're Together / (You're My) Soul And Inspiration	US	1977	70	Rock; Pop	Soft Rock; Ballad
6680229	3186915	McCall ; Bill Fries ; Chip Davis	C.W. McCall	327750	Polydor Records	Polydor	PD 14310	PD 14310	There won't be no country music (there won't be no rock 'n' roll)	There Won't Be No Country Music (There Won't Be No Rock 'N' Roll)	US	1976	70	Folk, World, & Country	Country
6680222	2190280	Dino Fekaris ; Freddie Perren	Peaches & Herb	201497	Polydor Records	Polydor	PD 2031	PD 2031	Roller-skatin' mate	Roller-Skatin' Mate	US	1979	70	Funk / Soul	Disco
4898698	8207076		Boots Randolph	48398	RCA Camden	RCA Camden	CXS-9003	CXS-9003	Yakety sax.	Yakety Sax	US	1971	70	Jazz	Easy Listening
6680007	1942749	 Randolph ; Rich. I really don't want to know / Barnes ; Robertson	Boots Randolph And His Combo	3025217	Monument	Monument	45-804	45-804	Yakety sax	Yakety Sax	US	1963	60	Jazz; Pop	Swing
6680209	3186968	James Last	James Last	60580	Polydor Records	Polydor	PD 2-15028	PD 2-15028	Music from across the way ; Endless journey	Music From Across The Way	US	1972	70	Pop	Easy Listening
6680207	7006384	Bert Russell. I shall be released / Bob Dylan	The Staccatos (2)	2092501	Polydor Records	Polydor	PD 2-15013	PD 2-15013	Cry to me	Cry To Me / I Shall Be Released	US	1968	60	Rock; Funk / Soul	Psychedelic Rock
6680198	2143786	 Cindy Walker. Falling / Roy Orbison	Roy Orbison	145072	Monument	Monument	45-815	45-815	Distant drums	Falling	US	1963	60	Rock	Rock & Roll; Pop Rock
6680202	5723420	Bernet	Marie Laforêt	462548	Polydor Records	Polydor	2056213	2056213	Viens, viens	Viens, Viens	Greece	1973	70	Pop	Chanson
6680203	7480566	/ Fran powers	Rusty Draper	520798	Monument	Monument	Mn45-1116	Mn45-1116	Something old, something new	Love Is Just A Game (That People Play) / Something Old, Something New	US	1968	60	Folk, World, & Country	Country
6680978	2989996	L. Sheriden ; M. Lee ; S. Stevens	Brotherhood Of Man	180932	Pye Records	Pye Records	PYE 71066	PYE 71066	Save your kisses for me	Save Your Kisses For Me	US	1976	70	Pop	Europop
6680981	1680485	Fred Brooks, Marshall Barer ;	Harry Belafonte	273817	RCA	RCA Victor	47-0322	447-0322	I'm just a country boy	Hold 'Em Joe / I'm Just A Country Boy	US	1957	50	Jazz; Reggae	Calypso; Easy Listening
6680980	1655224	 J. Ray. Cry / Kohlman	Johnnie Ray	377934	Okeh	Okeh	4-6840	4-6840	The little white cloud that cried	Cry / The Little White Cloud That Cried	US	1951	50	Funk / Soul	Rhythm & Blues
6680976	6088910	P. Yellowstone ; R. Danova ; Howdar	Joe Dolan	355004	Pye Records	Pye Records	PYE 71033	PYE 71033	Sweet little rock 'n' roller	Sweet Little Rock And Roller	US	1975	70	Rock; Pop	Vocal
6680977	5413185		Johnnie Ray	377934	Okeh	Okeh	4-6809	4-6809	Tell the lady I said goodbye. Whiskey and gin.	Whiskey And Gin / Tell The Lady I Said Goodbye	US	1951	50	Rock; Folk, World, & Country	Vocal
6680990	1037920	Chris Andrews	Chris Andrews (3)	324365	Pye Records	Pye Records	DV 14870	DV 14870	Pretty Belinda ; Make no mistakes	Pretty Belinda	Germany	1969	60	Rock; Pop	Pop Rock
6680993	1207387	Delanoe	Petula Clark	22334	Pye Records	Pye Records	7N.15448	7N.15448	Ya ya twist	Ya Ya Twist / Si C'Est Oui C'Est Oui	UK	1962	60	Rock; Pop	Rock & Roll; Chanson
6680975	1620907	Sharp ; Doonican ; Pavey	Val Doonican	254136	Decca.	Decca	F.12049	F.12049	The special years -- :	The Special Years	UK	1965	60	Pop	Vocal
6680995	11147215	Hirsch, Sampson, Profit ;	Charlie Ventura And His Orchestra	1692600	RCA	RCA Victor	47-2891	47-2891	Lullaby in rhythm	Lullaby In Rhythm	US	1949	40	Jazz	Bop
6680972	10823982	Rossi ; Young	Status Quo	103064	Pye Records	Pye Records	65,017	65,017	Mean girl	Mean Girl	US	1973	70	Rock; Pop	Blues Rock; Pop Rock
6680997	7419801	 Des. Kelly	Johnny Kelly (2)	1436118	Pye Records	Pye Records	7N.17322	7N.17322	Black velvet band ; The nightingale	Black Velvet Band	UK	1967	60	Folk, World, & Country	Folk
6682045	4580548	Nicholas Brodszky	Mario Lanza	454852	RCA Victor	RCA Victor Red Seal	49-1353	49-1353	Be my love ; I'll never love you	Be My Love / I'll Never Love You	US	1950	50	Stage & Screen	Musical
6682052	10233535	Floyd Cramer. San Antonio rose / Bob Wills	Floyd Cramer	322814	RCA Victor	RCA Victor	447-0572	447-0572	Last date	Last Date / San Antonio Rose	Canada	1975	70	Rock	Rock & Roll
6682032	6122326	Jack Segal, Evelyn Danzig. Shenandoah	Harry Belafonte	273817	RCA Victor	RCA Victor	447-0321	447-0321	Scarlet ribbons (for her hair)	Shenandoah • Scarlet Ribbons	Canada	1957	50	Reggae; Pop	Calypso; Folk; Vocal
6681995	4820432	(All I want for Christmas) / Don Gardner	Spike Jones And His City Slickers	287068	RCA Victor	RCA Victor	447-0172	447-0172	Rudolph the red-nosed reindeer	My Two Front Teeth / Rudolph The Red Nosed Reindeer	US	1955	50	Pop	Novelty; Parody
6682060	4734207		Barbara Carroll Trio	2080814	RCA Victor	RCA Victor	EPB-1137	EPB-1137	Have you met Miss Carroll?	Have You Met Miss Carroll?	US	1956	50	Jazz	Cool Jazz; Easy Listening
6675787	2110217	Tony Colton and Ray Smith	Poet And The One Man Band	1701541	Paramount	Paramount Records	PAS 5010	PAS 5010	Poet and the one man band	Poet And The One Man Band	US	1970	70	Rock	Folk Rock; Psychedelic Rock
6676357	9677330	someone could steal you from me) / Evans ; Gold	Anita O'Day	258903	London Records	London Records	45879	45879	Yea boo	Yea Boo	US	1951	50	Jazz	Ragtime
6677963	4491665	K Livgren ;	Kansas (2)	254408	Kirshner	Kirshner	ZS8 4284	ZS8 4284	People of the south wind	People Of The South Wind / Stay Out Of Trouble	US	1979	70	Rock	Prog Rock; Classic Rock
6677975	1912927	J. Lynne. Jungle / J. Lynne	Electric Light Orchestra	112154	Jet Records	Jet Records	ZS8 5057	ZS8 5057	Shine a little love	Shine A Little Love	US	1979	70	Rock	Classic Rock; Symphonic Rock
6677956	1914201	S Walsh, P Ehart, R Steinhardt ;	Kansas (2)	254408	Kirshner	Kirshner	ZS8 4273	ZS8 4273	Point of know return	Point Of Know Return	US	1977	70	Rock	Classic Rock
6677958	7326913	S Cassidy	Lisa Hartman	555576	Kirshner	Kirshner	ZS8 4283	ZS8 4283	Walk away	Walk Away	US	1979	70	Rock; Pop	Ballad
6677935	4651673	H Giraud, P Trim ;	James Darren	345662	Kirshner	Kirshner	63-5015	63-5015	Mammy blue	Mammy Blue	US	1971	70	Rock; Pop	Pop Rock
6677939	1809246	Johnny Nash. Cupid / Sam Cooke	Johnny Nash	254128	JAD Records	JAD	J-207	J-207	Hold me tight	Hold Me Tight / Cupid	US	1968	60	Reggae	Reggae; Rocksteady
6677906	3291069		Hi-Tension	54595	Island Records	Island Records	IS 103	IS 103-A	Hi-Tension.	Hi-Tension	US	1978	70	Funk / Soul	Funk
6677914	696858	Charlie Dore. Sleepless / Charlie Dore	Charlie Dore	112870	Island Records	Island Records	IS 49166	IS 49166	Pilot of the airwaves (Edit)	Pilot Of The Airwaves / Sleepless	US	1979	70	Rock; Pop	Soft Rock; Pop Rock
6677916	7983193	Charlie Dore	Charlie Dore	112870	Island Records	Island Records	IS 49252	IS 49252	Fear of flying	Fear Of Flying	US	1979	70	Rock; Pop	Soft Rock; Pop Rock
6677910	1037762	John Moon Martin. Love can run faster / Robert Palmer	Robert Palmer	40409	Island Records	Island Records	IS 49016	IS 49016	Bad case of loving you	Bad Case Of Loving You (Doctor, Doctor)	US	1979	70	Rock; Reggae	Pop Rock; Reggae
6677987	1217085	Rhonda Roberts, Kenny Jacobson. There's only you / Billy Mure	Don Rondo	1031951	Jubilee Records	Jubilee	5297	45-5297	Forsaking all others	There's Only You / Forsaking All Others	US	1957	50	Jazz; Rock	Rock & Roll; Swing
